Period,Company Name,company contact,company email,company phone,Address,City,State,Postcode,Industry,Industry descr,Company Type,Current fulltime,Job created,Job retain,Effective Date,Total Savings,Savings from beginning receiving benefits,Gas Savings,Cogen savings,Electric Savings,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
FY2018,4Over4.com,Anastasio Panagiotopolous,taso@4over4.com,7189322700,19-41 46th Street,Long Island City,NY,11105,Manufacturing,Printer,IDA,14,,,04/09/2008,"17,614.47","169,334.67",,,,QUEENS,40.77494,-73.896804,401,22,4441806,4007740017,12301,QN0101
FY2018,538-540 West 35 Corp,Richard Silver,tankman220@aol.com,2127366618,11-42 46th Road,Queens,NY,11101,Manufacturing,"steel, wood & cement tanks",ICAP,16,,,06/07/2010,"7,174.79","45,147.44",,,,QUEENS,40.74551,-73.949497,402,26,4436616,4000560047,702,QN0201
FY2018,A & L Scientific Corp.,Anthony Vicari,service@alscientific.com,7187568100,88-05 76th Avenue,Queens,NY,11385,Manufacturing,fabricates and services biotech medical equipment,IDA,13,,,09/19/2011,"3,276.87","26,117.18",,,,QUEENS,40.707402,-73.862139,405,32,4094396,4038560156,637,QN0503
FY2018,"A TO Z BOHEMIAN GLASS, INC.",DAVID DRASH,sales@beadmasterusa.com,2127252033,12 REWE STREET,Brooklyn,NY,11211,Manufacturing,IMP AND DIST. FASH. BEADS,IDA,33,7,33,10/05/2005,-46.37,"77,363.83",,,,BROOKLYN,40.716031,-73.932208,301,34,3070499,3029270175,44902,BK0104
FY2018,A TO Z KOSHER MEAT PRODUCT CO.,Edward Weinberg,GRANDKOSHER@AOL.COM,7183847400,123 GRAND STREET,Brooklyn,NY,11211,Manufacturing,MFG. MEAT PRODUCTS,ICIP,29,9,87,07/02/2004,"14,815.47","175,014.92",,,,BROOKLYN,40.715227,-73.963076,301,34,3000000,3023790024,555,BK0102
FY2018,"A.K.S. International, Inc",Tomislav nNgalo,tnogalo@aksinternational.com,332313,37-04 19th Avenue,Queens,NY,11105,Manufacturing,metal contracting & fabricator of metal products,IDA,45,,,07/06/2015,"4,665.44","12,712.86",,,,QUEENS,40.779184,-73.900755,401,22,4436970,4008120043,12301,QN0101
FY2018,"ABIGAL PRESS, INC.",Salvatore Stratis,sps@abigal.com,7186415350,97-35 133rd Ave,Ozone Park,NY,11417,Manufacturing,PRINTER AND ENGRAVER,ICIP,102,,,06/30/2008,"14,696.89","152,699.06",,,,QUEENS,40.676351,-73.839512,410,32,4247976,4114900090,86,QN1002
FY2018,ARROW LINEN SUPPLY CO.,Frank Park,FPark@arrowlinen.com,7187882000,467 PROSPECT AVENUE,Brooklyn,NY,11215,Commercial,IND. COMM. LAUNDRY SRVC.,IDA,175,,,05/11/2012,"109,903.49","582,338.5",,,,BROOKLYN,40.65943,-73.982725,307,39,3330617,3011130061,169,BK0701
FY2018,"Achieve Beyond, Inc. (Formerly Bilinguals, Inc.)",Julia  Matuza,jmatuza@bilingualsino.com,7187627633,70-00 Austin Street,Forest Hills,NY,11375,Commercial,Back Office Space,Relocator,200,,,12/24/2012,"19,589.6","87,131.53",,,,QUEENS,40.720892,-73.846811,406,29,4000000,4032340150,711,QN0602
FY2018,"ACME METAL CAP CO., INC./PETROFORM",Thomas Petrosino,info@acmepans.com,7183353000,62-01 34TH AVENUE,Queens,NY,11377,Manufacturing,MFG. METAL & CORK ENCLOSU,IDA,40,,,06/06/2008,"3,187.01","191,150.13",,,,QUEENS,40.752183,-73.899803,402,25,4027110,4011850040,293,QN0203
FY2018,ACME SMOKED FISH CORP.,Eduardo A. Carbajosa,ecarbajosa@acmesmokedfish.com,7183838585,30 GEM STREET,Brooklyn,NY,11222,Manufacturing,MFG. OF SMOKED FISH,ICIP,125,,355,11/01/2000,"34,359.84","1,994,987.48",,,,BROOKLYN,40.72499,-73.95654,301,33,3065485,3026150050,561,BK0101
FY2018,"Action Carting Environmental Services, Inc",Ronald S. Bergamini,ggalietti@actioncarting.com,9736237600,1221 East Bay Ave.,Brooklyn,NY,10474,Manufacturing,"Manufacturer and wholesaler of a material recovery facility that carts, sorts, bundles and sells recyclable material",ICAP,40,,,10/01/2010,"6,166.4","201,357.68",,,,BRONX,40.80819,-73.888513,202,17,2006877,2027710185,9302,BX0201
FY2018,"Aesthetonics, Inc.",EILEEN NEYMAN,eileen@remains.com,6467232477,21-29 Belvidere Street,"Brooklyn,",NY,11206,Manufacturing,,Relocator,32,,,03/12/2009,"15,667.66","110,559.73",,,,BROOKLYN,40.698747,-73.936863,304,34,3071776,3031350036,389,BK0401
FY2019,CN MANAGEMENT LLC,PETER PAPAGIANAKIS,,9174780570,25-40 27TH ST.,QUEENS,NY,11102,Commercial,Real estate holding co.,ICIP,1,,,02/01/2013,238.37,"1,621.04",,,,QUEENS,40.771363,-73.920956,401,22,4018553,4008610076,69,QN0103
FY2018,"AFC INDUSTRIES, INC.",ANAT ROTLEVI,anrotlevi@afcindustries.com,7187470237,13-16 133RD PLACE,College Point,NY,11356,Manufacturing,MFG. COMPUTER FURNI.,IDA,41,10,82,03/05/2004,"4,186.19","25,346.98",,,,QUEENS,40.786469,-73.834527,407,19,4445908,4040120029,945,QN0701
FY2018,"African Services Committee, Inc.",Muna Hamouie,munah@africanservices.com,2122223882,423-429 W 127th Street,New YOrk,NY,10027,Commercial,Provider of Social Services,Tenant,32,,,12/09/2011,"2,094.77","12,548.46",,,,MANHATTAN,40.812964,-73.953759,109,7,1084105,1019670060,21303,MN0902
FY2018,"AGE MANUFACTURERS, INC.",Yosel Avtzon,agemanufac@aol.com,7189270048,106-24 AVENUE D,Brooklyn,NY,11222,Manufacturing,MFG. VERIOUS ITEMS,IDA,54,,108,11/15/2005,"2,102.92","90,866.56",,,,BROOKLYN,40.654623,-73.900288,318,42,3228746,3081380205,1098,BK0503
FY2018,"AHAlife Holdings, Inc.",Shauna Mei,shaunamei@ahalife.com,6463315779,68 Jay Street,Brooklyn,NY,11201,Wholesale/Warehouse/Distribution,,Relocator,22,,,03/09/2016,"2,622.41","3,172.42",,,,BROOKLYN,40.702763,-73.986681,302,33,3000090,3000400001,21,BK0202
FY2018,Aids Vaccine Advocacy Coalition,Mitchell Warren,marie@avac.com,6463691476,423-429 W 127th Street,New York,NY,10027,Commercial,"Provides information, education and advocacy for HIV /AIDS prevention.",ICIP,13,,,11/07/2011,"1,826.4","10,553.89",,,,MANHATTAN,40.812964,-73.953759,109,7,1084105,1019670060,21303,MN0902
FY2018,"ALADDIN BAKERS, INC/Bread Head, LLC.",Joseph Ayoub,guzzi@aladdinbakery.com,7184991818,236-238 25TH STREET,New York,NY,11232,Manufacturing,COMM. BAKER,ICIP,100,,,04/14/2009,"106,108.79","574,777.87",,,,BROOKLYN,40.660115,-73.997441,307,38,3009619,3006550025,101,BK0702
FY2018,Albert Einstein College of Medicine of Yeshiva Uni,Jack Zencheck,mwinkle1@yu.edu,7184308977,1196 Pierce Avenue,Bronx,NY,10461,Other,Research facility,ICIP,"2,614",,,07/02/2015,"1,145,723","2,984,666.62",,,,BRONX,40.848176,-73.846583,211,13,2044325,2040900019,286,BX1102
FY2018,Alchemy Paintworks LLC,Heather Kelly,heather@alchemypaintworks.com,7184840214,"1102 Atlantic Avenue, Unit 1C",Brooklyn,NY,11238,Commercial,,Tenant,2,,,01/21/2016,"2,810.19","5,997.98",,,,BROOKLYN,40.679518,-73.956819,308,35,3027572,3011260029,305,BK0802
FY2018,"ALL AIRE CONDITIONING CO., INC.",SHELDON GLICK,shellyg@allaireconditioning.com,7189916999,528 CRAVEN STREET,bronx,NY,10474,Commercial,COMM. SERVICE,ICIP,24,,24,06/07/2005,"1,330.77","38,189.62",,,,BRONX,40.810008,-73.892068,202,17,2006772,2027680087,9302,BX0201
FY2018,"All City Metal, Inc.",Frank Buccola,Johnmdallcitymetal.com,7184725700,54-35 46th Street,Long Island City,NY,11101,Manufacturing,,ICAP,65,,,05/15/2015,"22,385.61","51,349.47",,,,QUEENS,40.730657,-73.922148,402,26,4058877,4025460001,205,QN0202
FY2018,ALL CITY SWITCHBOARD CORP.,PETER   TSIMOYIANIS,joan@allcityswbd.com,7189567244,35-41 11TH STREET,LONG ISLAND CITY,NY,11101,Manufacturing,MFG. ELEC. SWITCHBOARD,IDA,28,16,56,02/11/2005,"2,883.03","162,299.21",,,,QUEENS,40.762075,-73.939362,401,22,4440015,4003310008,85,QN0105
FY2018,ALLE PROCESSING CORP.,Sam HOLLANDER,halbycpa@alleprocessing.com,7188942000,54-58 56TH DR. & 5820-5880  MAURICE,Queens,NY,11378,Manufacturing,MANUFACTURER,IDA,494,60,"2,964",06/28/2007,"259,758.38","3,500,028.81",,,,,,,,,,,,
FY2018,Greenfelds LLC,Joseph Freund,officegreenfelds.com,7188559368,632-644 Parkside Avenue,Brooklyn,NY,11226,Commercial,,IDA,29,,,10/27/2015,"10,015.72","25,620.67",,,,BROOKLYN,40.656131,-73.952145,309,40,3116054,3050570021,820,BK1701
FY2018,"ALLIED SAMPLE CARDS CO., INC.",MARC TRAGER,alliedsamplecard@netzero.net,7182380523,140 58TH STREET BLDG. B #7A,Brooklyn,NY,11220,Manufacturing,"MGF OF FOLDERS, FBR BKS",Tenant,17,,,07/03/2014,"2,246.45","9,755.1",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2018,ALRUE IMPORT COPR.,Avi Shaul,avi@alrue.com,7183928877,10-40 45TH AVENUE,Long Island City,NY,11101,Manufacturing,Mfg. of Jewelry Setting,ICIP,6,,,06/07/2011,"8,235.56","56,918.38",,,,QUEENS,40.748053,-73.951224,402,26,4000411,4000500017,702,QN0201
FY2018,Amazon Corporate LLC,Mike Grella,mggrella@amazon.com,2067400085,35 Kent Avenue,Brooklyn,NY,11222,Manufacturing,photo shoots for products presented on their media,ICAP,47,,,07/06/2015,"19,667.03","44,538.32",,,,BROOKLYN,40.723004,-73.958825,301,33,3335590,3022880001,557,BK0102
FY2018,American Folk Art Museum,Anne-Imelda Radice,areilly@folkartmuseum.org,2122651040,32-23 48th Avenue,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,,Relocator,5,,,03/10/2015,"8,214.23","20,819.63",,,,QUEENS,40.740913,-73.93324,402,26,4003446,4002520001,19901,QN0202
FY2018,AMERICAN MEDICAL ALERT CORP.,Jakc Rhian,Usinfo@turnstall.com,2128795700,36-36 33RD STREET,LIC,NY,11101,Commercial,SERVICE,Tenant,51,25,51,03/07/2007,"26,885.08","349,673.72",,,,QUEENS,40.755141,-73.928728,401,26,4007923,4006010001,55,QN0105
FY2018,"American Torque, Inc.",Robert McCarthy,Amtorq@gmail.com,7185262433,105-22 150th Street,Queens,NY,11435,Manufacturing,mfg torque converters and related parts,ICAP,8,,,01/19/2011,"7,778.11","55,360.12",,,,QUEENS,40.696796,-73.801885,412,28,4589555,4100620010,204,QN1201
FY2018,American Transit Insurance Co,Edward T McGettigan Jr.,,2128578200,One MetroTech Center,Brooklyn,NY,11201,Commercial,Insurance,Relocator,330,,,08/02/2012,"33,369.91","215,748.51",,,,BROOKLYN,40.694059,-73.985741,302,33,3000000,3001420100,11,BK0202
FY2018,"AMY SCHERBER, INC.",AMY SCHERBER,amy@amysbread.com,2124622038,48-09 34th St.,Long Island City,NY,11101,Manufacturing,WHOLESALE BAKERY,Relocator,130,,,01/07/2013,"36,249.7","162,319.95",,,,QUEENS,40.740357,-73.93158,402,26,4003452,4002540036,19901,QN0202
FY2018,ANHEUSER BUSH,ED FITZMAURICE,steve.hunter@anhuser-busch.com,7183495805,500 Food Center Drive,Bronx,NY,10456,Wholesale/Warehouse/Distribution,Dist. of beers and ales,City/State,294,,,07/06/2009,"87,580.6","749,348.17",,,,BRONX,40.805781,-73.871164,202,17,2000000,2027810500,11702,BX0201
FY2018,"ANTHONY DALO WOODWORKING, INC.",ANTHONY DALO,anthony@adalowood.com,7184189001,361 STAGG STREET,brooklyn,NY,11206,Manufacturing,MFG. CABINERTRY,Tenant,4,2,4,09/02/2005,424.78,"18,146.26",,,,BROOKLYN,40.710477,-73.934421,301,34,3070837,3030290065,485,BK0104
FY2018,"Apex Logistics International (JFK), Inc",Sheik  Ahamad,sheika@apexglobe.com,5166402851,"145-68 228th St, Unit 3",Queens,NY,11413,Wholesale/Warehouse/Distribution,Freight forwarding and warehousing,Tenant,9,,,06/16/2015,"4,897.15","13,530.81",,,,QUEENS,40.660713,-73.752361,413,31,4612085,4134750016,690,QN1306
FY2018,Applied Research & Consulting LLC,Christopher Bumcrot,cbumcrot@arcllc.com,9175469630,30-30 47th Avenue,Long Island City,NY,11101,Manufacturing,,Relocator,6,,,02/08/2016,527.95,"1,587.22",,,,QUEENS,40.743168,-73.936568,402,26,4003540,4002820001,19902,QN0202
FY2018,"Approved Oil Co. of Brooklyn, Inc.",Vincent Theures,vincenttheures@approvedoil.com,7182381050,202-224 64th Street,Brooklyn,NY,11220,Commercial,Dist. of Heating Oil,IDA,140,,,10/14/2010,"2,998.32","16,028.21",,,,BROOKLYN,40.641028,-74.024841,307,38,3144127,3058160006,22,BK0702
FY2018,"APR, INC., DBA EXPRESITO CARGA",ALFREDO PADILLA,apadilla@expresito.com,7182052222,102-46 CORONA AVE. AKA 102-36,Queens,NY,11368,Wholesale/Warehouse/Distribution,WH AND DISTRIBUTION,IDA,19,5,19,05/14/2007,"2,270.82","37,720.76",,,,QUEENS,40.744199,-73.860861,404,21,4047395,4019280024,413,QN0402
FY2018,"APTHORP CLEANERS, INC.",Debra Kravet,apthorpcleaners@gmail.com,7188661240,882 EAST 149TH STREET,BRONX,NY,10455,Commercial,Dry cleaner for drop stores,IDA,21,,,12/03/2007,"7,927.55","87,170.76",,,,BRONX,40.81097,-73.903312,201,8,2004102,2026000206,31,BX0101
FY2018,ARDAVANIS REALTY CORPORATION,DENNIS ARDAVANIS,bbrcontracting@aol.com,7187885447,163 22ND STREET,Brooklyn,NY,11232,Commercial,COMMERCIAL,ICIP,18,3,18,08/10/2006,601.5,"10,561.18",,,,BROOKLYN,40.662506,-73.996864,307,38,3009303,3006420047,145,BK0702
FY2018,"Arista Coffee, Inc.",Stephen Vouvoudakis,tom@aristacoffee.com,3474086012,59-01 55th Street,Maspeth,NY,11318,Commercial,Company is a roaster of coffee beans,ICAP,40,,,10/28/2016,"3,976.49","10,960.66",,,,QUEENS,40.71719,-73.913376,405,30,4059082,4026300001,53501,QN0501
FY2018,"Artex, Inc.",John Jacobs,therman@ArtexFAS.com,2122440999,33-20 48 Ave,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,,Relocator,42,,,08/06/2014,"43,322.69","161,387.78",,,,QUEENS,40.740775,-73.932182,402,26,4003456,4002550023,19901,QN0202
FY2018,"ASPRO MECHANICAL CONTRACTING, INC.","VINCENT ASPROMONTE, SR.",sr@aspromechanical.com,7189773653,127-08 MERRICK BOULEVARD,Queens,NY,11434,Commercial,CONTRACTOR,ICIP,32,40,64,11/15/2006,"3,200.65","63,002.18",,,,QUEENS,40.681323,-73.764972,412,27,4270315,4125280105,33401,QN1204
FY2018,"Asymptote Architecture, PLLC",Lise Anne Couture,admin@asymptote.net,2123437333,1145-46 AVE,Queens,NY,11101,Manufacturing,Architectural design,Relocator,57,,,04/08/2009,"9,048.72","95,256.93",,,,,,,,,,,,
FY2018,ATLANTIS SEAFOOD WHOLESALE,STEPHEN HON,stephenhon@aol.com,7186288080,8-10 WYCKOFF AVENUE,Brooklyn,NY,11237,Wholesale/Warehouse/Distribution,WHOLESALE/DIST.,ICIP,5,7,5,03/02/2007,"4,911.33","68,244.29",,,,BROOKLYN,40.706817,-73.923268,304,34,3072397,3031760038,447,BK0401
FY2018,"AVI-SPL, Inc.",Michael Diodato,michael.diodato@avispl.com,7188064040,10-40  45th Avenue 1st Floor,Long Island City,NY,11101,Wholesale/Warehouse/Distribution,,Tenant,102,,,12/07/2011,"7,732.61","42,463.04",,,,QUEENS,40.748053,-73.951224,402,26,4000411,4000500017,702,QN0201
FY2018,"Azizo Imports, Inc.",Daniel Azizo,danazizo@aol.com,7186866647,"3611 14th Ave, Rm #405",Brooklyn,NY,11218,Manufacturing,mens neckties,Relocator,4,,,06/15/2009,412.26,"4,582.21",,,,BROOKLYN,40.640848,-73.982459,312,39,3125035,3053490001,228,BK1202
FY2018,B. Thayer Associates,Barbara  Thayer,bthayer@bthayerassociates.com,7189423320,37-18 Northern Blvd,Long Island City,NY,11101,Other,,Relocator,4,,,01/02/2015,"1,385.62","3,455.18",,,,QUEENS,40.752096,-73.925887,401,26,4003103,4002140040,17102,QN0161
FY2018,"LIBERTY HOUSE, INC.",SIMON ZIMMERMAN,,2123349888,"47-44 31ST ST/47-07 30TH PL, 6TH FL",,NY,11101,Manufacturing,COMMERCIAL CUTTER,Relocator,73,10,73,07/06/2007,"1,139.34","18,319.46",,,,,,,,,,,,
FY2018,B.C.S. INTERNATIONAL CORP.,Dae Hyun  Yoo,david@bcsroyal.com,7183923355,47-15 33RD STREET,LONG ISLAND CITY,NY,11101,Wholesale/Warehouse/Distribution,Groceries,IDA,12,,,12/06/2007,"29,179.71","300,024.19",,,,QUEENS,40.742197,-73.932167,402,26,4311535,4002510015,19901,QN0202
FY2018,B.E.L.L. Foundation (The),Antonio Battajlia,andrew.morse@experiencebell.org,2129322388,1361 Amsterdam Avenue,New York,NY,10027,Other,,Tenant,12,,,05/10/2011,"1,837.09","21,014.1",,,,MANHATTAN,40.814216,-73.95564,109,7,1081781,1019670040,21303,MN0902
FY2018,B.P. AIR CONDITIONING CORP/,Bill  Chrietzberg,bchrietzberg@bpair.com,2127320606,84-00 73RD ST.,QUEENS,NY,11385,Commercial,distributor HVAC systems,IDA,112,,,04/21/2009,"20,208.02","222,323.38",,,,,,,,,,,,
FY2018,BACK TO AFRICA CORP.,EZRA DEBBAH,edebbah@aol.com,7184925100,"140 58TH STREET, UNIT 6M BLDG. A",Brooklyn,NY,11220,Manufacturing,MANUFACTURE,Relocator,4,,4,07/03/2007,"1,511.61","17,836.37",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2018,"BAGELS BY BELL AKA B&S BAILY, INC.",WARREN BELL,bellbialy@aol.com,7182722780,100-13 FOSTER AVE.,BROOKLYN,NY,11236,Manufacturing,COMMERCIAL BAKER OF BAGELS,ICIP,24,20,48,01/17/2006,"20,165.72","561,395.28",,,,BROOKLYN,40.649894,-73.903294,318,42,3228737,3081330001,1098,BK0503
FY2018,BALDOR SPECIALTY FOOD,Eileen Manitsas,eileen@baldorfood.com,7183044507,155 Food Center Drive,Bronx,NY,10474,Wholesale/Warehouse/Distribution,DST OF FRUITS & VEGGIES,City/State,579,,,12/03/2008,"183,374.08","1,518,909.14",,,,BRONX,40.809733,-73.872648,202,17,2101319,2027810500,11702,BX0201
FY2018,"BANNER SMOKED FISH, INC.",Alan  Levitz,alanlevitz@gmail.com,7184491400,2715 WEST 15TH STREET,Brooklyn,NY,11224,Manufacturing,PROCESSOR FISH PRODUCTS,ICIP,41,,,12/28/2010,"53,612.13","315,434.86",,,,BROOKLYN,40.581105,-73.983443,313,47,3329317,3069970042,348,BK1302
FY2018,"BARK FRAMEWORKS, INC.",Jared  Bark,jbark@barkframeworks.com,7187521919,21-24 44TH AVENUE,Queens,NY,11101,Manufacturing,MFG. (WOOD PRODUCTS),IDA,53,,,06/08/2015,"18,618","45,921.77",,,,QUEENS,40.74942,-73.946282,402,26,4005191,4004390027,1903,QN0201
FY2018,BARKER BROTHERS,Kenneth Doyle,barkerbrothers@aol.com,7184566400,1656-1662 SUMMERFIELD STREET,Queens,NY,11385,Manufacturing,MANUFACTURE,ICIP,51,,252,06/28/2006,"2,919.13","190,220.66",,,,QUEENS,40.695815,-73.901399,405,34,4437809,4035550038,559,QN0502
FY2018,"BARONE STEEL FABRICATORS, INC.",NICK BARONE,nbarone@baronesteel.com,7188324705,128 44th Street,BROOKLYN,NY,11232,Manufacturing,Fabricator and erector of structural steel,IDA,57,,,02/12/2008,"16,993.11","155,997.54",,,,BROOKLYN,40.65331,-74.014866,307,38,3320138,3007350050,1803,BK0702
FY2018,Belmont Metals,Jeffrey Behrendt,jbehrendt@belomtmetals.com,7183424900,330 Belmont Avenue,Brooklyn,NY,11207,Manufacturing,,ICIP,85,,,10/20/2008,"70,242.61","759,404",,,,BROOKLYN,40.670294,-73.897731,305,42,3326970,3037520002,1156,BK0502
FY2018,"BENSON MILLS, INC.",GABE LEVY,gabe@bensonmills.com,7185321401,140 58TH ST. BLDG. A UNIT 7J,Brooklyn,NY,11220,Manufacturing,MANUFACTURING,Tenant,15,,,10/02/2009,"3,680.94","26,731.05",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2018,Bermuda Motor Car REnting Co.,Robert A. Verdi,peter@bermudalimo.com,2122432591,21-30 44th Road,Long Island City,NY,11101,Commercial,,Relocator,90,,,06/08/2012,"5,009.59","29,900.48",,,,QUEENS,40.748624,-73.945972,402,26,4005184,4004380026,1903,QN0201
FY2018,"BEST CASE & ACCESSORIES, INC.",MURRAY DANA,MDANA@BESTCASECELLULAR.COM,8003468746,140 58TH STREET,Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,DISB. CELLULAR PHONES,Tenant,22,17,22,10/03/1998,"5,181.9","74,762.67",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2018,Best Choice Trading Corp,Lynn Gian,bestchoiceseafood@yahoo.com,7183662999,146 Stewart Avenue,Brooklyn,NY,11237,Wholesale/Warehouse/Distribution,,IDA,24,,,03/09/2010,"33,490.68","251,244.96",,,,BROOKLYN,40.711043,-73.926734,301,34,3258604,3029640044,44902,BK0104
FY2018,Best Mounting Corp.,Amir Rotlevi,anrotlevi@bestmounting.com,9178423783,130-11 Atlantic Avenue,Jamaica,NY,11418,Manufacturing,Mfg. of switchgears,IDA,3,,,09/28/2010,"6,800.69","33,133.05",,,,QUEENS,40.695926,-73.818689,409,29,4196970,4093750285,14202,QN0902
FY2018,"Bestec Concept, Inc.",Peter Kim,,7189375848,"140 58th Street, Bldg B #8D",Brookln,NY,11220,Manufacturing,Dress uniforms,City/State,140,,,09/01/2016,"16,378.59","19,733.02",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2018,Bettertex,Isaac Douek,astange@gamlaphoto.com,2129473790,"140 58th Street, Bldg. B unit 5I",Brooklyn,NY,11220,Wholesale/Warehouse/Distribution,Warehouse/Electronic,Tenant,8,,,07/03/2013,"3,694.29","15,054.37",,,,BROOKLYN,40.645338,-74.022864,307,38,3414976,3057780001,1804,BK0702
FY2018,BEYER LIGHTNING FISH COMPANY,MARK RUDES,info@afish.com,7188606323,"800 FOOD CENTER DRIVE, 117,119,121",Bronx,NY,10474,Wholesale/Warehouse/Distribution,DIST. VARIOUS FISH,Tenant,13,,13,03/07/2006,"2,630.63","60,975.85",,,,BRONX,40.805255,-73.876414,202,17,2088215,2027800073,9302,BX0201
FY2018,"Big City Graphx, Inc.",Paul Salas,paul@bigcitygraphics.com,7187069670,47-01 Van Dam Street,Long Island City,NY,11101,Manufacturing,,Relocator,36,,,12/07/2011,"10,060.25","78,321.67",,,,QUEENS,40.742738,-73.933952,402,26,4003450,4002530027,19901,QN0202
FY2018,Big Farm Corp.,Mohmad Jaber,jaber_farid@yahoo.com,7187212437,515 Bryant Avenue,Bronx,NY,10474,Wholesale/Warehouse/Distribution,,IDA,8,,,06/04/2015,"9,751.99","27,227.95",,,,BRONX,40.810942,-73.884593,202,17,2000000,2027690021,9301,BX0201
FY2018,Bigheavy Studios,Andrew Barnes,andrew@bigheavystudios.com,3472953222,1102 Atlantic Avenue,Brooklyn,NY,11238,Manufacturing,Manufacturer of visual displays for store windows,Tenant,8,,,03/15/2016,677.34,"1,259.46",,,,BROOKLYN,40.679518,-73.956819,308,35,3027572,3011260029,305,BK0802
